Context,cmd,Command,State
MAIN_WINDOW,media,Additional Media,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT  | STATE_PLAY | STATE_FOTO
SCORE_TAB,split-measure,Split Measure Before Selected Note/Rest,STATE_NORMAL
SCORE_TAB,join-measures,Join Selected Measures,STATE_NORMAL
MAIN_WINDOW,page-settings,Page Settings,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY | STATE_FOTO
MAIN_WINDOW,album,Album,STATE_DISABLED | STATE_NORMAL
MAIN_WINDOW,layer,Layers,STATE_NORMAL
MAIN_WINDOW,next-score,Next Score,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,previous-score,Previous Score,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,plugin-creator,Inspector,STATE_DISABLED | STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY | STATE_EDIT | STATE_FOTO
MAIN_WINDOW,resource-manager,PDF Transcribing Assistant,STATE_ALL
MAIN_WINDOW,loop,Loop Playback,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY
MAIN_WINDOW,loop-in,Loop In,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY
MAIN_WINDOW,loop-out,Loop Out,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY
MAIN_WINDOW,metronome,Metronome,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY | STATE_EDIT
MAIN_WINDOW,countin,Count-In,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY | STATE_EDIT
MAIN_WINDOW,playback-speed-increase,Increase Playback Speed,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY | STATE_EDIT
MAIN_WINDOW,playback-speed-decrease,Decrease Playback Speed,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY | STATE_EDIT
MAIN_WINDOW,playback-speed-reset,Reset Playback Speed,STATE_NORMAL | STATE_NOTE_ENTRY | STATE_PLAY | STATE_EDIT
SCORE_TAB,figured-bass,Figured Bass,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,transpose-up,Transpose Up,STATE_NORMAL
SCORE_TAB,transpose-down,Transpose Down,STATE_NORMAL
MAIN_WINDOW,masterpalette,Master Palette,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,key-signatures,Key Signatures,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,time-signatures,Time Signatures,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,symbols,Symbols,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,viewmode,Toggle View Mode,STATE_NORMAL
SCORE_TAB,next-lyric,Next Syllable,STATE_LYRICS_EDIT
SCORE_TAB,prev-lyric,Previous Syllable,STATE_LYRICS_EDIT
SCORE_TAB,toggle-visible,Toggle Visibility,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,set-visible,Set Visible,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,unset-visible,Set Invisible,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-noteline,Note Anchored Line,STATE_NORMAL | STATE_NOTE_ENTRY
MAIN_WINDOW,lock,Lock Score// TAB-specific actions,STATE_NORMAL | STATE_LOCK
SCORE_TAB,,Longa (TAB),STATE_NEVER
SCORE_TAB,note-breve-TAB,Double Whole Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-1-TAB,Whole Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-2-TAB,Half Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-4-TAB,Quarter Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-8-TAB,Eighth Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-16-TAB,16th Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-32-TAB,32nd Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-64-TAB,64th Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-128-TAB,128th Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-256-TAB,256th Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-512-TAB,512th Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-1024-TAB,1024th Note (TAB),STATE_NEVER
SCORE_TAB,pad-note-increase-TAB,Increase Active Duration (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,pad-note-decrease-TAB,Decrease Active Duration (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,rest-TAB,Rest (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,pad-rest-TAB,Rest (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,string-above,String Above (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,string-below,String Below (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-0,Fret 0 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-1,Fret 1 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-2,Fret 2 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-3,Fret 3 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-4,Fret 4 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-5,Fret 5 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-6,Fret 6 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-7,Fret 7 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-8,Fret 8 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-9,Fret 9 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-10,Fret 10 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-11,Fret 11 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-12,Fret 12 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-13,Fret 13 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,fret-14,Fret 14 (TAB),STATE_NOTE_ENTRY_STAFF_TAB
SCORE_TAB,advance-longa,Longa Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-breve,Breve Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-1,Whole Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-2,Half Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-4,Quarter Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-8,Eighth Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-16,16th Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-32,32nd Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,advance-64,64th Note Advance (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,prev-measure-TEXT,Previous Measure (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,next-measure-TEXT,Next Measure (F.B./Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,prev-beat-TEXT,Previous Beat (Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,next-beat-TEXT,Next Beat (Chord Symbol),STATE_HARMONY_FIGBASS_EDIT
SCORE_TAB,add-brackets,Add Brackets to Accidental,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-parentheses,Add Parentheses to Element,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,add-braces,Add Braces to Element,STATE_NORMAL | STATE_NOTE_ENTRY
SCORE_TAB,toggle-mmrest,Toggle 'Create Multimeasure Rest',STATE_NORMAL
SCORE_TAB,toggle-hide-empty,Toggle 'Hide Empty Staves',STATE_NORMAL
SCORE_TAB,text-b,Bold Face,STATE_TEXT_EDIT
SCORE_TAB,text-i,Italic,STATE_TEXT_EDIT
SCORE_TAB,text-u,Underline,STATE_TEXT_EDIT
SCORE_TAB,text-word-left,Move Word Left,STATE_TEXT_EDIT
SCORE_TAB,text-word-right,Move Word Right,STATE_TEXT_EDIT
SCORE_TAB,explode,Explode,STATE_NORMAL
SCORE_TAB,realize-chord-symbols,Realize Chord Symbols,STATE_NORMAL
SCORE_TAB,implode,Implode,STATE_NORMAL
SCORE_TAB,slash-fill,Fill With Slashes,STATE_NORMAL
SCORE_TAB,slash-rhythm,Toggle Rhythmic Slash Notation,STATE_NORMAL
SCORE_TAB,add-remove-breaks,Add/Remove System Breaks,STATE_NORMAL
SCORE_TAB,resequence-rehearsal-marks,Resequence Rehearsal Marks,STATE_NORMAL
SCORE_TAB,copy-lyrics-to-clipboard,Copy Lyrics to Clipboard,STATE_NORMAL
MAIN_WINDOW,startcenter,Start Center,STATE_DISABLED | STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,edit-toolbars,Customize Toolbars,STATE_NORMAL
MAIN_WINDOW,del-empty-measures,Remove Empty Trailing Measures,STATE_NORMAL
MAIN_WINDOW,unroll-repeats,Unroll Repeats,STATE_NORMAL
MAIN_WINDOW,toggle-insert-mode,Toggle Insert Mode,STATE_DISABLED | STATE_NORMAL | STATE_NOTE_ENTRY | STATE_EDIT | STATE_PLAY
MAIN_WINDOW,show-tours,Toggle Automatic Placement,STATE_ALL
MAIN_WINDOW,autoplace-enabled,Toggle Automatic Placement Globally,STATE_ALL
MAIN_WINDOW,report-bug,Report a Bug,STATE_ALL
MAIN_WINDOW,leave-feedback,Feedback,STATE_ALL
PIANO_ROLL_EDITOR,zoom-in-horiz-pre,Zoom In Horizontally,STATE_ALL
PIANO_ROLL_EDITOR,zoom-out-horiz-pre,Zoom Out Horizontally,STATE_ALL
PIANO_ROLL_EDITOR,zoom-in-vert-pre,Zoom In Vertically,STATE_ALL
PIANO_ROLL_EDITOR,zoom-out-vert-pre,Zoom Out Vertically,STATE_ALL
MAIN_WINDOW,toggle-script-recorder,Script Recorder,STATE_NORMAL
MAIN_WINDOW,no-horizontal-stretch,No Horizontal Stretch,STATE_ALL
MAIN_WINDOW,no-vertical-stretch,No Vertical Stretch,STATE_ALL
MAIN_WINDOW,show-segment-shapes,Show Segment Shapes,STATE_ALL
MAIN_WINDOW,show-skylines,Show Skylines,STATE_ALL
MAIN_WINDOW,show-bounding-rect,Show Bounding Rectangles,STATE_ALL
MAIN_WINDOW,show-system-bounding-rect,Show System Bounding Rectangles,STATE_ALL
MAIN_WINDOW,show-corrupted-measures,Show Corrupted Measures,STATE_ALL
MAIN_WINDOW,relayout,Re-Layout,STATE_ALL  ~STATE_TEXT_EDIT
MAIN_WINDOW,qml-reload-source,Reload QML code,STATE_ALL
